product_name,price,review,description,empty
realme C21 Cross Black 64 GB,₹9499,4.471155 Ratings & 3395 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 256 GB,
realme C21 Cross Blue 64 GB,₹9499,4.471155 Ratings & 3395 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 256 GB,
realme C25s Watery Grey 128 GB,₹11499,4.518611 Ratings & 897 Reviews,4 GB RAM  128 GB ROM  Expandable Upto 256 GB,
realme C25s Watery Blue 128 GB,₹11499,4.518611 Ratings & 897 Reviews,4 GB RAM  128 GB ROM  Expandable Upto 256 GB,
REDMI 9 Prime Space Blue 64 GB,₹9999,4.4161646 Ratings & 10888 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 512 GB,
REDMI 9i Midnight Black 64 GB,₹8499,4.3417155 Ratings & 24185 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 512 GB,
realme C20 Cool Grey 32 GB,₹7499,4.4156310 Ratings & 7364 Reviews,2 GB RAM  32 GB ROM  Expandable Upto 256 GB,
realme C20 Cool Blue 32 GB,₹7499,4.4156310 Ratings & 7364 Reviews,2 GB RAM  32 GB ROM  Expandable Upto 256 GB,
realme C11 2021 Cool Grey 32 GB,₹6999,4.36812 Ratings & 393 Reviews,2 GB RAM  32 GB ROM  Expandable Upto 256 GB,
realme C11 2021 Cool Blue 32 GB,₹6999,4.36812 Ratings & 393 Reviews,2 GB RAM  32 GB ROM  Expandable Upto 256 GB,
POCO M3 Cool Blue 64 GB,₹10999,4.322258 Ratings & 1516 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 512 GB,
POCO M3 Power Black 64 GB,₹10999,4.322258 Ratings & 1516 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 512 GB, 
POCO M3 Cool Blue 64 G,₹11999,4.3323483 Ratings & 23704 Reviews,6 GB RAM  64 GB ROM  Expandable Upto 512 GB,
POCO M3 Yellow 64 GB,₹10999,4.322258 Ratings & 1516 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 512 GB,
Infinix Hot 10 Play Morandi Green 32 GB,₹7999,4.44606 Ratings & 298 Reviews,3 GB RAM  32 GB ROM  Expandable Upto 256 GB,
realme Narzo 30A Laser Black 32 GB,₹8999,4.3104822 Ratings & 7454 Reviews,3 GB RAM  32 GB ROM  Expandable Upto 256 GB,
realme Narzo 30 5G Racing Silver 128 GB,₹15999,4.333136 Ratings & 2800 Reviews,6 GB RAM  128 GB ROM  Expandable Upto 1 TB,
realme Narzo 30 5G Racing Blue 128 GB,₹15999,4.333136 Ratings & 2800 Reviews,6 GB RAM  128 GB ROM  Expandable Upto 1 TB,
Infinix Hot 10 Play 7° Purple 32 GB,₹7999,4.44606 Ratings & 298 Reviews,3 GB RAM  32 GB ROM  Expandable Upto 256 GB,
REDMI 9 Power Blazing Blue 64 GB,₹10999,4.3142558 Ratings & 10092 Reviews,4 GB RAM  64 GB ROM16.59 cm (6.53 inch) Full HD,
REDMI Note 9 ebble Grey 64 GB,₹11999,4.397272 Ratings & 7368 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 512 GB,
MOTOROLA G10 Power Aurora Grey 64 GB,₹10499,4.144243 Ratings & 3823 Reviews,4 GB RAM  64 GB ROM16.54 cm (6.51 inch) HD,
realme 8 5G Supersonic Black 128 GB,₹14999,4.349723 Ratings & 3868 Reviews,4 GB RAM  128 GB ROM  Expandable Upto 1 TB,
realme 8 5G Supersonic Black 64 GB,₹13999,4.349723 Ratings & 3868 Reviews,4 GB RAM  64 GB ROM  Expandable Upto 1 TB,
